GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US06390,06390,ZCTA5 06390,280,121
8600000US10001,10001,ZCTA5 10001,21097,1160
8600000US10002,10002,ZCTA5 10002,81335,2469
8600000US10003,10003,ZCTA5 10003,55190,1766
8600000US10004,10004,ZCTA5 10004,2604,362
8600000US10005,10005,ZCTA5 10005,4935,500
8600000US10006,10006,ZCTA5 10006,2722,324
8600000US10007,10007,ZCTA5 10007,5892,546
8600000US10009,10009,ZCTA5 10009,62335,1710
8600000US10010,10010,ZCTA5 10010,28954,1472
8600000US10011,10011,ZCTA5 10011,51064,1460
8600000US10012,10012,ZCTA5 10012,24342,1568
8600000US10013,10013,ZCTA5 10013,25942,1363
8600000US10014,10014,ZCTA5 10014,31685,1349
8600000US10016,10016,ZCTA5 10016,53754,1972
8600000US10017,10017,ZCTA5 10017,15603,993
8600000US10018,10018,ZCTA5 10018,5290,641
8600000US10019,10019,ZCTA5 10019,40778,1493
8600000US10020,10020,ZCTA5 10020,0,89
8600000US10021,10021,ZCTA5 10021,41546,1640
8600000US10022,10022,ZCTA5 10022,28847,1309
8600000US10023,10023,ZCTA5 10023,60035,2088
8600000US10024,10024,ZCTA5 10024,60239,2009
8600000US10025,10025,ZCTA5 10025,95330,2599
8600000US10026,10026,ZCTA5 10026,36026,1680
8600000US10027,10027,ZCTA5 10027,58834,2240
8600000US10028,10028,ZCTA5 10028,45345,1645
8600000US10029,10029,ZCTA5 10029,78451,2770
8600000US10030,10030,ZCTA5 10030,29186,1598
8600000US10031,10031,ZCTA5 10031,58736,2274
8600000US10032,10032,ZCTA5 10032,62798,2516
8600000US10033,10033,ZCTA5 10033,58027,2430
8600000US10034,10034,ZCTA5 10034,40925,1543
8600000US10035,10035,ZCTA5 10035,35290,1554
8600000US10036,10036,ZCTA5 10036,22371,1123
8600000US10037,10037,ZCTA5 10037,17489,1044
8600000US10038,10038,ZCTA5 10038,19530,1059
8600000US10039,10039,ZCTA5 10039,25257,1411
8600000US10040,10040,ZCTA5 10040,43753,1571
8600000US10044,10044,ZCTA5 10044,11399,1008
8600000US10065,10065,ZCTA5 10065,32193,1403
8600000US10069,10069,ZCTA5 10069,5214,727
8600000US10075,10075,ZCTA5 10075,26082,1522
8600000US10103,10103,ZCTA5 10103,0,89
8600000US10110,10110,ZCTA5 10110,4,3
8600000US10111,10111,ZCTA5 10111,0,89
8600000US10112,10112,ZCTA5 10112,0,89
8600000US10115,10115,ZCTA5 10115,0,89
8600000US10119,10119,ZCTA5 10119,0,89
8600000US10128,10128,ZCTA5 10128,58793,1547
8600000US10152,10152,ZCTA5 10152,0,89
8600000US10153,10153,ZCTA5 10153,0,89
8600000US10154,10154,ZCTA5 10154,0,89
8600000US10162,10162,ZCTA5 10162,1608,437
8600000US10165,10165,ZCTA5 10165,0,89
8600000US10167,10167,ZCTA5 10167,0,89
8600000US10168,10168,ZCTA5 10168,0,89
8600000US10169,10169,ZCTA5 10169,0,89
8600000US10170,10170,ZCTA5 10170,0,89
8600000US10171,10171,ZCTA5 10171,0,89
8600000US10172,10172,ZCTA5 10172,0,89
8600000US10173,10173,ZCTA5 10173,0,89
8600000US10174,10174,ZCTA5 10174,0,89
8600000US10177,10177,ZCTA5 10177,0,89
8600000US10199,10199,ZCTA5 10199,0,89
8600000US10271,10271,ZCTA5 10271,0,89
8600000US10278,10278,ZCTA5 10278,0,89
8600000US10279,10279,ZCTA5 10279,0,89
8600000US10280,10280,ZCTA5 10280,7741,899
8600000US10282,10282,ZCTA5 10282,5027,991
8600000US10301,10301,ZCTA5 10301,39367,1741
8600000US10302,10302,ZCTA5 10302,17128,1190
8600000US10303,10303,ZCTA5 10303,26274,1298
8600000US10304,10304,ZCTA5 10304,40934,2003
8600000US10305,10305,ZCTA5 10305,40085,1481
8600000US10306,10306,ZCTA5 10306,55710,1506
8600000US10307,10307,ZCTA5 10307,14363,769
8600000US10308,10308,ZCTA5 10308,29014,1344
8600000US10309,10309,ZCTA5 10309,30706,1189
8600000US10310,10310,ZCTA5 10310,24473,1216
8600000US10311,10311,ZCTA5 10311,0,89
8600000US10312,10312,ZCTA5 10312,60318,1708
8600000US10314,10314,ZCTA5 10314,87662,1844
8600000US10451,10451,ZCTA5 10451,43550,1757
8600000US10452,10452,ZCTA5 10452,75150,2136
8600000US10453,10453,ZCTA5 10453,79376,2427
8600000US10454,10454,ZCTA5 10454,38523,1618
8600000US10455,10455,ZCTA5 10455,37699,1850
8600000US10456,10456,ZCTA5 10456,86121,2669
