GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Total population
HC01_MOE_VC01,Total; Margin of Error; Total population
HC02_EST_VC01,Male; Estimate; Total population
HC02_MOE_VC01,Male; Margin of Error; Total population
HC03_EST_VC01,Female; Estimate; Total population
HC03_MOE_VC01,Female; Margin of Error; Total population
HC01_EST_VC03,Total; Estimate; AGE - Under 5 years
HC01_MOE_VC03,Total; Margin of Error; AGE - Under 5 years
HC02_EST_VC03,Male; Estimate; AGE - Under 5 years
HC02_MOE_VC03,Male; Margin of Error; AGE - Under 5 years
HC03_EST_VC03,Female; Estimate; AGE - Under 5 years
HC03_MOE_VC03,Female; Margin of Error; AGE - Under 5 years
HC01_EST_VC04,Total; Estimate; AGE - 5 to 9 years
HC01_MOE_VC04,Total; Margin of Error; AGE - 5 to 9 years
HC02_EST_VC04,Male; Estimate; AGE - 5 to 9 years
HC02_MOE_VC04,Male; Margin of Error; AGE - 5 to 9 years
HC03_EST_VC04,Female; Estimate; AGE - 5 to 9 years
HC03_MOE_VC04,Female; Margin of Error; AGE - 5 to 9 years
HC01_EST_VC05,Total; Estimate; AGE - 10 to 14 years
HC01_MOE_VC05,Total; Margin of Error; AGE - 10 to 14 years
HC02_EST_VC05,Male; Estimate; AGE - 10 to 14 years
HC02_MOE_VC05,Male; Margin of Error; AGE - 10 to 14 years
HC03_EST_VC05,Female; Estimate; AGE - 10 to 14 years
HC03_MOE_VC05,Female; Margin of Error; AGE - 10 to 14 years
HC01_EST_VC06,Total; Estimate; AGE - 15 to 19 years
HC01_MOE_VC06,Total; Margin of Error; AGE - 15 to 19 years
HC02_EST_VC06,Male; Estimate; AGE - 15 to 19 years
HC02_MOE_VC06,Male; Margin of Error; AGE - 15 to 19 years
HC03_EST_VC06,Female; Estimate; AGE - 15 to 19 years
HC03_MOE_VC06,Female; Margin of Error; AGE - 15 to 19 years
HC01_EST_VC07,Total; Estimate; AGE - 20 to 24 years
HC01_MOE_VC07,Total; Margin of Error; AGE - 20 to 24 years
HC02_EST_VC07,Male; Estimate; AGE - 20 to 24 years
HC02_MOE_VC07,Male; Margin of Error; AGE - 20 to 24 years
HC03_EST_VC07,Female; Estimate; AGE - 20 to 24 years
HC03_MOE_VC07,Female; Margin of Error; AGE - 20 to 24 years
HC01_EST_VC08,Total; Estimate; AGE - 25 to 29 years
HC01_MOE_VC08,Total; Margin of Error; AGE - 25 to 29 years
HC02_EST_VC08,Male; Estimate; AGE - 25 to 29 years
HC02_MOE_VC08,Male; Margin of Error; AGE - 25 to 29 years
HC03_EST_VC08,Female; Estimate; AGE - 25 to 29 years
HC03_MOE_VC08,Female; Margin of Error; AGE - 25 to 29 years
HC01_EST_VC09,Total; Estimate; AGE - 30 to 34 years
HC01_MOE_VC09,Total; Margin of Error; AGE - 30 to 34 years
HC02_EST_VC09,Male; Estimate; AGE - 30 to 34 years
